medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,athlete_link,country_code,event,country,sport
Silver,2,,GAROZZO D,GAROZZO Daniele,M,../../../en/results/fencing/athlete-profile-n1398516-garozzo-daniele.htm,ITA,Men's Foil Individual,Italy,Fencing
Bronze,3,,CHOUPENITCH A,CHOUPENITCH Alexander,M,../../../en/results/fencing/athlete-profile-n1408686-choupenitch-alexander.htm,CZE,Men's Foil Individual,Czech Republic,Fencing
Gold,1,,POZDNIAKOVA S,POZDNIAKOVA Sofia,W,../../../en/results/fencing/athlete-profile-n1428153-pozdniakova-sofia.htm,ROC,Women's Sabre Individual,ROC,Fencing
Silver,2,,VELIKAYA S,VELIKAYA Sofya,W,../../../en/results/fencing/athlete-profile-n1428151-velikaya-sofya.htm,ROC,Women's Sabre Individual,ROC,Fencing
Bronze,3,,BRUNET M,BRUNET Manon,W,../../../en/results/fencing/athlete-profile-n1351055-brunet-manon.htm,FRA,Women's Sabre Individual,France,Fencing
Gold,1,,ONO S,ONO Shohei,M,../../../en/results/judo/athlete-profile-n1315344-ono-shohei.htm,JPN,Men -73 kg,Japan,Judo
Silver,2,,SHAVDATUASHVILI L,SHAVDATUASHVILI Lasha,M,../../../en/results/judo/athlete-profile-n1286459-shavdatuashvili-lasha.htm,GEO,Men -73 kg,Georgia,Judo
Bronze,3,,AN C,AN Changrim,M,../../../en/results/judo/athlete-profile-n1323212-an-changrim.htm,KOR,Men -73 kg,Republic of Korea,Judo
Bronze,3,,TSEND-OCHIR T,TSEND-OCHIR Tsogtbaatar,M,../../../en/results/judo/athlete-profile-n1323961-tsend-ochir-tsogtbaatar.htm,MGL,Men -73 kg,Mongolia,Judo
Gold,1,,GJAKOVA N,GJAKOVA Nora,W,../../../en/results/judo/athlete-profile-n1327870-gjakova-nora.htm,KOS,Women -57 kg,Kosovo,Judo
Silver,2,,CYSIQUE SL,CYSIQUE Sarah Leonie,W,../../../en/results/judo/athlete-profile-n1403695-cysique-sarah-leonie.htm,FRA,Women -57 kg,France,Judo
Bronze,3,,KLIMKAIT J,KLIMKAIT Jessica,W,../../../en/results/judo/athlete-profile-n1433444-klimkait-jessica.htm,CAN,Women -57 kg,Canada,Judo
Bronze,3,,YOSHIDA T,YOSHIDA Tsukasa,W,../../../en/results/judo/athlete-profile-n1315322-yoshida-tsukasa.htm,JPN,Women -57 kg,Japan,Judo
Gold,1,,HANCOCK V,HANCOCK Vincent,M,../../../en/results/shooting/athlete-profile-n1335413-hancock-vincent.htm,USA,Skeet Men,United States of America,Shooting
Silver,2,,HANSEN J,HANSEN Jesper,M,../../../en/results/shooting/athlete-profile-n1366749-hansen-jesper.htm,DEN,Skeet Men,,Shooting
Bronze,3,,ALRASHIDI A,ALRASHIDI Abdullah,M,../../../en/results/shooting/athlete-profile-n1895506-alrashidi-abdullah.htm,KUW,Skeet Men,Kuwait,Shooting
Gold,1,,ENGLISH A,ENGLISH Amber,W,../../../en/results/shooting/athlete-profile-n1335325-english-amber.htm,USA,Skeet Women,United States of America,Shooting
Silver,2,,BACOSI D,BACOSI Diana,W,../../../en/results/shooting/athlete-profile-n1351194-bacosi-diana.htm,ITA,Skeet Women,Italy,Shooting
Bronze,3,,WEI M,WEI Meng,W,../../../en/results/shooting/athlete-profile-n1302164-wei-meng.htm,CHN,Skeet Women,People's Republic of China,Shooting
Gold,1,,NISHIYA M,NISHIYA Momiji,W,../../../en/results/skateboarding/athlete-profile-n1315689-nishiya-momiji.htm,JPN,Women's Street,Japan,Skateboarding
Silver,2,,LEAL R,LEAL Rayssa,W,../../../en/results/skateboarding/athlete-profile-n1351770-leal-rayssa.htm,BRA,Women's Street,Brazil,Skateboarding
Bronze,3,,NAKAYAMA F,NAKAYAMA Funa,W,../../../en/results/skateboarding/athlete-profile-n1315686-nakayama-funa.htm,JPN,Women's Street,Japan,Skateboarding
Gold,1,,PEATY A,PEATY Adam,M,../../../en/results/swimming/athlete-profile-n1444186-peaty-adam.htm,GBR,Men's 100m Breaststroke,Great Britain,Swimming
Silver,2,,KAMMINGA A,KAMMINGA Arno,M,../../../en/results/swimming/athlete-profile-n1467428-kamminga-arno.htm,NED,Men's 100m Breaststroke,Netherlands,Swimming
Bronze,3,,MARTINENGHI N,MARTINENGHI Nicolo,M,../../../en/results/swimming/athlete-profile-n1350375-martinenghi-nicolo.htm,ITA,Men's 100m Breaststroke,Italy,Swimming
Gold,1,,CURRY B,CURRY Brooks,M,../../../en/results/swimming/athlete-profile-n1869707-curry-brooks.htm,USA,Men's 4 x 100m Freestyle Relay,United States of America,Swimming
Gold,1,,DRESSEL C,DRESSEL Caeleb,M,../../../en/results/swimming/athlete-profile-n1302244-dressel-caeleb.htm,USA,Men's 4 x 100m Freestyle Relay,United States of America,Swimming
Gold,1,,BECKER B,BECKER Bowen,M,../../../en/results/swimming/athlete-profile-n1302235-becker-bowen.htm,USA,Men's 4 x 100m Freestyle Relay,United States of America,Swimming
Gold,1,,PIERONI B,PIERONI Blake,M,../../../en/results/swimming/athlete-profile-n1302339-pieroni-blake.htm,USA,Men's 4 x 100m Freestyle Relay,United States of America,Swimming
Gold,1,,APPLE Z,APPLE Zach,M,../../../en/results/swimming/athlete-profile-n1302461-apple-zach.htm,USA,Men's 4 x 100m Freestyle Relay,United States of America,Swimming
Silver,2,,CECCON T,CECCON Thomas,M,../../../en/results/swimming/athlete-profile-n1343280-ceccon-thomas.htm,ITA,Men's 4 x 100m Freestyle Relay,Italy,Swimming
Silver,2,,FRIGO M,FRIGO Manuel,M,../../../en/results/swimming/athlete-profile-n1350382-frigo-manuel.htm,ITA,Men's 4 x 100m Freestyle Relay,Italy,Swimming
Silver,2,,ZAZZERI L,ZAZZERI Lorenzo,M,../../../en/results/swimming/athlete-profile-n1350385-zazzeri-lorenzo.htm,ITA,Men's 4 x 100m Freestyle Relay,Italy,Swimming
Silver,2,,CONDORELLI S,CONDORELLI Santo,M,../../../en/results/swimming/athlete-profile-n1343283-condorelli-santo.htm,ITA,Men's 4 x 100m Freestyle Relay,Italy,Swimming
Silver,2,,MIRESSI A,MIRESSI Alessandro,M,../../../en/results/swimming/athlete-profile-n1343287-miressi-alessandro.htm,ITA,Men's 4 x 100m Freestyle Relay,Italy,Swimming
Bronze,3,,CHALMERS K,CHALMERS Kyle,M,../../../en/results/swimming/athlete-profile-n1482862-chalmers-kyle.htm,AUS,Men's 4 x 100m Freestyle Relay,,Swimming
Bronze,3,,GRAHAM A,GRAHAM Alexander,M,../../../en/results/swimming/athlete-profile-n1482864-graham-alexander.htm,AUS,Men's 4 x 100m Freestyle Relay,,Swimming
Bronze,3,,INCERTI Z,INCERTI Zac,M,../../../en/results/swimming/athlete-profile-n1482856-incerti-zac.htm,AUS,Men's 4 x 100m Freestyle Relay,,Swimming
Bronze,3,,McEVOY C,McEVOY Cameron,M,../../../en/results/swimming/athlete-profile-n1482868-mcevoy-cameron.htm,AUS,Men's 4 x 100m Freestyle Relay,,Swimming
Bronze,3,,TEMPLE M,TEMPLE Matthew,M,../../../en/results/swimming/athlete-profile-n1482903-temple-matthew.htm,AUS,Men's 4 x 100m Freestyle Relay,,Swimming
Gold,1,,MACNEIL M,MACNEIL Margaret,W,../../../en/results/swimming/athlete-profile-n1459652-macneil-margaret.htm,CAN,Women's 100m Butterfly,Canada,Swimming
Silver,2,,ZHANG Y,ZHANG Yufei,W,../../../en/results/swimming/athlete-profile-n1311332-zhang-yufei.htm,CHN,Women's 100m Butterfly,People's Republic of China,Swimming
Bronze,3,,McKEON E,McKEON Emma,W,../../../en/results/swimming/athlete-profile-n1482869-mckeon-emma.htm,AUS,Women's 100m Butterfly,,Swimming
Gold,1,,TITMUS A,TITMUS Ariarne,W,../../../en/results/swimming/athlete-profile-n1482877-titmus-ariarne.htm,AUS,Women's 400m Freestyle,,Swimming
Silver,2,,LEDECKY K,LEDECKY Kathleen,W,../../../en/results/swimming/athlete-profile-n1302300-ledecky-kathleen.htm,USA,Women's 400m Freestyle,United States of America,Swimming
Bronze,3,,LI B,LI Bingjie,W,../../../en/results/swimming/athlete-profile-n1311341-li-bingjie.htm,CHN,Women's 400m Freestyle,People's Republic of China,Swimming
Gold,1,,MIZUTANI J,MIZUTANI Jun,X,../../../en/results/table-tennis/athlete-profile-n1316123-mizutani-jun.htm,JPN,Mixed Doubles,Japan,Table Tennis
Gold,1,,ITO M,ITO Mima,X,../../../en/results/table-tennis/athlete-profile-n1316127-ito-mima.htm,JPN,Mixed Doubles,Japan,Table Tennis
Silver,2,,XU X,XU Xin,X,../../../en/results/table-tennis/athlete-profile-n1321068-xu-xin.htm,CHN,Mixed Doubles,People's Republic of China,Table Tennis
Silver,2,,LIU S,LIU Shiwen,X,../../../en/results/table-tennis/athlete-profile-n1322024-liu-shiwen.htm,CHN,Mixed Doubles,People's Republic of China,Table Tennis
Bronze,3,,LIN YJ,LIN Yun Ju,X,../../../en/results/table-tennis/athlete-profile-n1338649-lin-yun-ju.htm,TPE,Mixed Doubles,Chinese Taipei,Table Tennis
Bronze,3,,CHENG IC,CHENG I Ching,X,../../../en/results/table-tennis/athlete-profile-n1338655-cheng-i-ching.htm,TPE,Mixed Doubles,Chinese Taipei,Table Tennis
Gold,1,,KHRAMTCOV M,KHRAMTCOV Maksim,M,../../../en/results/taekwondo/athlete-profile-n1428979-khramtcov-maksim.htm,ROC,Men -80kg,ROC,Taekwondo
Silver,2,,ELSHARABATY S,ELSHARABATY Saleh,M,../../../en/results/taekwondo/athlete-profile-n1344971-elsharabaty-saleh.htm,JOR,Men -80kg,Jordan,Taekwondo
Bronze,3,,KANAET T,KANAET Toni,M,../../../en/results/taekwondo/athlete-profile-n1383817-kanaet-toni.htm,CRO,Men -80kg,Croatia,Taekwondo
Bronze,3,,EISSA S,EISSA Seif,M,../../../en/results/taekwondo/athlete-profile-n1312994-eissa-seif.htm,EGY,Men -80kg,Egypt,Taekwondo
Gold,1,,JELIC M,JELIC Matea,W,../../../en/results/taekwondo/athlete-profile-n1383819-jelic-matea.htm,CRO,Women -67kg,Croatia,Taekwondo
Silver,2,,WILLIAMS L,WILLIAMS Lauren,W,../../../en/results/taekwondo/athlete-profile-n1440126-williams-lauren.htm,GBR,Women -67kg,Great Britain,Taekwondo
Bronze,3,,GBAGBI R,GBAGBI Ruth,W,../../../en/results/taekwondo/athlete-profile-n1323717-gbagbi-ruth.htm,CIV,Women -67kg,Côte d'Ivoire,Taekwondo
Bronze,3,,MALAK H,MALAK Hedaya,W,../../../en/results/taekwondo/athlete-profile-n1313024-malak-hedaya.htm,EGY,Women -67kg,Egypt,Taekwondo
Gold,1,,BLUMMENFELT K,BLUMMENFELT Kristian,M,../../../en/results/triathlon/athlete-profile-n1343606-blummenfelt-kristian.htm,NOR,Men's Individual,Norway,Triathlon
Silver,2,,YEE A,YEE Alex,M,../../../en/results/triathlon/athlete-profile-n1444256-yee-alex.htm,GBR,Men's Individual,Great Britain,Triathlon
Bronze,3,,WILDE H,WILDE Hayden,M,../../../en/results/triathlon/athlete-profile-n1475129-wilde-hayden.htm,NZL,Men's Individual,New Zealand,Triathlon
Gold,1,,DIAZ H,DIAZ Hidilyn,W,../../../en/results/weightlifting/athlete-profile-n1465120-diaz-hidilyn.htm,PHI,Women's 55kg,Philippines,Weightlifting
Silver,2,,LIAO Q,LIAO Qiuyun,W,../../../en/results/weightlifting/athlete-profile-n1310365-liao-qiuyun.htm,CHN,Women's 55kg,People's Republic of China,Weightlifting
Bronze,3,,CHINSHANLO Z,CHINSHANLO Zulfiya,W,../../../en/results/weightlifting/athlete-profile-n1306356-chinshanlo-zulfiya.htm,KAZ,Women's 55kg,Kazakhstan,Weightlifting
Gold,1,,AKHAIMOVA L,AKHAIMOVA Liliia,W,../../../en/results/artistic-gymnastics/athlete-profile-n1406265-akhaimova-liliia.htm,ROC,Women's Team,ROC,Artistic Gymnastics
Gold,1,,MELNIKOVA A,MELNIKOVA Angelina,W,../../../en/results/artistic-gymnastics/athlete-profile-n1406270-melnikova-angelina.htm,ROC,Women's Team,ROC,Artistic Gymnastics
Gold,1,,URAZOVA V,URAZOVA Vladislava,W,../../../en/results/artistic-gymnastics/athlete-profile-n1406274-urazova-vladislava.htm,ROC,Women's Team,ROC,Artistic Gymnastics
Gold,1,,LISTUNOVA V,LISTUNOVA Viktoriia,W,../../../en/results/artistic-gymnastics/athlete-profile-n1406269-listunova-viktoriia.htm,ROC,Women's Team,ROC,Artistic Gymnastics
Silver,2,,Mc CALLUM G,Mc CALLUM Grace,W,../../../en/results/artistic-gymnastics/athlete-profile-n1348666-mc-callum-grace.htm,USA,Women's Team,United States of America,Artistic Gymnastics
Silver,2,,LEE S,LEE Sunisa,W,../../../en/results/artistic-gymnastics/athlete-profile-n1348724-lee-sunisa.htm,USA,Women's Team,United States of America,Artistic Gymnastics
Silver,2,,CHILES J,CHILES Jordan,W,../../../en/results/artistic-gymnastics/athlete-profile-n1348674-chiles-jordan.htm,USA,Women's Team,United States of America,Artistic Gymnastics
Silver,2,,BILES S,BILES Simone,W,../../../en/results/artistic-gymnastics/athlete-profile-n1348720-biles-simone.htm,USA,Women's Team,United States of America,Artistic Gymnastics
Bronze,3,,GADIROVA J,GADIROVA Jennifer,W,../../../en/results/artistic-gymnastics/athlete-profile-n1467530-gadirova-jennifer.htm,GBR,Women's Team,Great Britain,Artistic Gymnastics
Bronze,3,,GADIROVA J,GADIROVA Jessica,W,../../../en/results/artistic-gymnastics/athlete-profile-n1467531-gadirova-jessica.htm,GBR,Women's Team,Great Britain,Artistic Gymnastics
Bronze,3,,KINSELLA A,KINSELLA Alice,W,../../../en/results/artistic-gymnastics/athlete-profile-n1467536-kinsella-alice.htm,GBR,Women's Team,Great Britain,Artistic Gymnastics
Bronze,3,,MORGAN A,MORGAN Amelie,W,../../../en/results/artistic-gymnastics/athlete-profile-n1467537-morgan-amelie.htm,GBR,Women's Team,Great Britain,Artistic Gymnastics
Gold,1,,UENO Y,UENO Yukiko,W,../../../en/results/baseball-softball/athlete-profile-n1313709-ueno-yukiko.htm,JPN,Softball,Japan,Baseball/Softball
Gold,1,,GOTO M,GOTO Miu,W,../../../en/results/baseball-softball/athlete-profile-n1313712-goto-miu.htm,JPN,Softball,Japan,Baseball/Softball
Gold,1,,FUJITA Y,FUJITA Yamato,W,../../../en/results/baseball-softball/athlete-profile-n1313714-fujita-yamato.htm,JPN,Softball,Japan,Baseball/Softball
Gold,1,,AGATSUMA H,AGATSUMA Haruka,W,../../../en/results/baseball-softball/athlete-profile-n1313716-agatsuma-haruka.htm,JPN,Softball,Japan,Baseball/Softball
Gold,1,,KIYOHARA N,KIYOHARA Nayu,W,../../../en/results/baseball-softball/athlete-profile-n1313717-kiyohara-nayu.htm,JPN,Softball,Japan,Baseball/Softball
Gold,1,,ATSUMI M,ATSUMI Mana,W,../../../en/results/baseball-softball/athlete-profile-n1313718-atsumi-mana.htm,JPN,Softball,Japan,Baseball/Softball
Gold,1,,ICHIGUCHI Y,ICHIGUCHI Yuka,W,../../../en/results/baseball-softball/athlete-profile-n1313719-ichiguchi-yuka.htm,JPN,Softball,Japan,Baseball/Softball
Gold,1,,KAWABATA H,KAWABATA Hitomi,W,../../../en/results/baseball-softball/athlete-profile-n1313720-kawabata-hitomi.htm,JPN,Softball,Japan,Baseball/Softball
Gold,1,,NAITO M,NAITO Minori,W,../../../en/results/baseball-softball/athlete-profile-n1313722-naito-minori.htm,JPN,Softball,Japan,Baseball/Softball
Gold,1,,YAMAMOTO Y,YAMAMOTO Yu,W,../../../en/results/baseball-softball/athlete-profile-n1313723-yamamoto-yu.htm,JPN,Softball,Japan,Baseball/Softball
Gold,1,,HARADA N,HARADA Nodoka,W,../../../en/results/baseball-softball/athlete-profile-n1313725-harada-nodoka.htm,JPN,Softball,Japan,Baseball/Softball
Gold,1,,MORI S,MORI Sayaka,W,../../../en/results/baseball-softball/athlete-profile-n1313726-mori-sayaka.htm,JPN,Softball,Japan,Baseball/Softball
Gold,1,,YAMAZAKI S,YAMAZAKI Saki,W,../../../en/results/baseball-softball/athlete-profile-n1313727-yamazaki-saki.htm,JPN,Softball,Japan,Baseball/Softball
Gold,1,,YAMADA E,YAMADA Eri,W,../../../en/results/baseball-softball/athlete-profile-n1313728-yamada-eri.htm,JPN,Softball,Japan,Baseball/Softball
Gold,1,,MINE Y,MINE Yukiyo,W,../../../en/results/baseball-softball/athlete-profile-n1313729-mine-yukiyo.htm,JPN,Softball,Japan,Baseball/Softball
Silver,2,,AGUILAR A,AGUILAR Ali,W,../../../en/results/baseball-softball/athlete-profile-n1309993-aguilar-ali.htm,USA,Softball,United States of America,Baseball/Softball
Silver,2,,CARDA A,CARDA Ally,W,../../../en/results/baseball-softball/athlete-profile-n1309995-carda-ally.htm,USA,Softball,United States of America,Baseball/Softball
Silver,2,,CHIDESTER A,CHIDESTER Amanda,W,../../../en/results/baseball-softball/athlete-profile-n1309996-chidester-amanda.htm,USA,Softball,United States of America,Baseball/Softball
Silver,2,,MUNRO A,MUNRO Aubree,W,../../../en/results/baseball-softball/athlete-profile-n1310002-munro-aubree.htm,USA,Softball,United States of America,Baseball/Softball
Silver,2,,MULIPOLA D,MULIPOLA Dejah,W,../../../en/results/baseball-softball/athlete-profile-n1310026-mulipola-dejah.htm,USA,Softball,United States of America,Baseball/Softball
Silver,2,,SPAULDING D,SPAULDING Delaney,W,../../../en/results/baseball-softball/athlete-profile-n1310029-spaulding-delaney.htm,USA,Softball,United States of America,Baseball/Softball
Silver,2,,Mc CLENEY H,Mc CLENEY Haylie,W,../../../en/results/baseball-softball/athlete-profile-n1310048-mc-cleney-haylie.htm,USA,Softball,United States of America,Baseball/Softball
Silver,2,,REED J,REED Janie,W,../../../en/results/baseball-softball/athlete-profile-n1310057-reed-janie.htm,USA,Softball,United States of America,Baseball/Softball
Silver,2,,MOULTRIE M,MOULTRIE Michelle,W,../../../en/results/baseball-softball/athlete-profile-n1310077-moultrie-michelle.htm,USA,Softball,United States of America,Baseball/Softball
Silver,2,,NICKLES B,NICKLES Bubba,W,../../../en/results/baseball-softball/athlete-profile-n1310078-nickles-bubba.htm,USA,Softball,United States of America,Baseball/Softball
Silver,2,,GARCIA R,GARCIA Rachel,W,../../../en/results/baseball-softball/athlete-profile-n1310096-garcia-rachel.htm,USA,Softball,United States of America,Baseball/Softball
Silver,2,,ARIOTO V,ARIOTO Valerie,W,../../../en/results/baseball-softball/athlete-profile-n1310107-arioto-valerie.htm,USA,Softball,United States of America,Baseball/Softball
Silver,2,,OSTERMAN C,OSTERMAN Cat,W,../../../en/results/baseball-softball/athlete-profile-n1310118-osterman-cat.htm,USA,Softball,United States of America,Baseball/Softball
Silver,2,,STEWART K,STEWART Kelsey,W,../../../en/results/baseball-softball/athlete-profile-n1310122-stewart-kelsey.htm,USA,Softball,United States of America,Baseball/Softball
Silver,2,,ABBOTT M,ABBOTT Monica,W,../../../en/results/baseball-softball/athlete-profile-n1310126-abbott-monica.htm,USA,Softball,United States of America,Baseball/Softball
Bronze,3,,CAIRA J,CAIRA Jenna,W,../../../en/results/baseball-softball/athlete-profile-n1426186-caira-jenna.htm,CAN,Softball,Canada,Baseball/Softball
Bronze,3,,ENTZMINGER E,ENTZMINGER Emma,W,../../../en/results/baseball-softball/athlete-profile-n1426187-entzminger-emma.htm,CAN,Softball,Canada,Baseball/Softball
Bronze,3,,FRANKLIN L,FRANKLIN Larissa,W,../../../en/results/baseball-softball/athlete-profile-n1426188-franklin-larissa.htm,CAN,Softball,Canada,Baseball/Softball
Bronze,3,,GILBERT J,GILBERT Jen,W,../../../en/results/baseball-softball/athlete-profile-n1426189-gilbert-jen.htm,CAN,Softball,Canada,Baseball/Softball
Bronze,3,,GROENEWEGEN S,GROENEWEGEN Sara,W,../../../en/results/baseball-softball/athlete-profile-n1426190-groenewegen-sara.htm,CAN,Softball,Canada,Baseball/Softball
Bronze,3,,HAYWARD V,HAYWARD Victoria,W,../../../en/results/baseball-softball/athlete-profile-n1426191-hayward-victoria.htm,CAN,Softball,Canada,Baseball/Softball
Bronze,3,,HARSHMAN K,HARSHMAN Kelsey,W,../../../en/results/baseball-softball/athlete-profile-n1426193-harshman-kelsey.htm,CAN,Softball,Canada,Baseball/Softball
Bronze,3,,LAWRIE D,LAWRIE Danielle,W,../../../en/results/baseball-softball/athlete-profile-n1426194-lawrie-danielle.htm,CAN,Softball,Canada,Baseball/Softball
Bronze,3,,LEUNG J,LEUNG Janet,W,../../../en/results/baseball-softball/athlete-profile-n1426195-leung-janet.htm,CAN,Softball,Canada,Baseball/Softball
Bronze,3,,LYE J,LYE Joey,W,../../../en/results/baseball-softball/athlete-profile-n1426196-lye-joey.htm,CAN,Softball,Canada,Baseball/Softball
Bronze,3,,POLIDORI E,POLIDORI Erika,W,../../../en/results/baseball-softball/athlete-profile-n1426197-polidori-erika.htm,CAN,Softball,Canada,Baseball/Softball
Bronze,3,,RAFTER K,RAFTER Kaleigh,W,../../../en/results/baseball-softball/athlete-profile-n1426199-rafter-kaleigh.htm,CAN,Softball,Canada,Baseball/Softball
Bronze,3,,REGULA L,REGULA Lauren,W,../../../en/results/baseball-softball/athlete-profile-n1426200-regula-lauren.htm,CAN,Softball,Canada,Baseball/Softball
Bronze,3,,SALLING J,SALLING Jenn,W,../../../en/results/baseball-softball/athlete-profile-n1426201-salling-jenn.htm,CAN,Softball,Canada,Baseball/Softball
Bronze,3,,WIDEMAN N,WIDEMAN Natalie,W,../../../en/results/baseball-softball/athlete-profile-n1426202-wideman-natalie.htm,CAN,Softball,Canada,Baseball/Softball
Gold,1,,FUNK R,FUNK Ricarda,W,../../../en/results/canoe-slalom/athlete-profile-n1333388-funk-ricarda.htm,GER,Women's Kayak,Germany,Canoe Slalom
Silver,2,,CHOURRAUT M,CHOURRAUT Maialen,W,../../../en/results/canoe-slalom/athlete-profile-n1358267-chourraut-maialen.htm,ESP,Women's Kayak,Spain,Canoe Slalom
Bronze,3,,FOX J,FOX Jessica,W,../../../en/results/canoe-slalom/athlete-profile-n1348917-fox-jessica.htm,AUS,Women's Kayak,,Canoe Slalom
Gold,1,,NEFF J,NEFF Jolanda,W,../../../en/results/cycling-mountain-bike/athlete-profile-n1466043-neff-jolanda.htm,SUI,Women's Cross-country,Switzerland,Cycling Mountain Bike
Silver,2,,FREI S,FREI Sina,W,../../../en/results/cycling-mountain-bike/athlete-profile-n1465739-frei-sina.htm,SUI,Women's Cross-country,Switzerland,Cycling Mountain Bike
Bronze,3,,INDERGAND L,INDERGAND Linda,W,../../../en/results/cycling-mountain-bike/athlete-profile-n1465784-indergand-linda.htm,SUI,Women's Cross-country,Switzerland,Cycling Mountain Bike
Gold,1,,CHEN Y,CHEN Yuxi,W,../../../en/results/diving/athlete-profile-n1329854-chen-yuxi.htm,CHN,Women's Synchronised 10m Platform,People's Republic of China,Diving
